date,open,high,low,close,volume,pct_chg
1990-01-01,,,,1000.0,0.0,
2004-12-31,,,,1000.0,0.0,
2005-01-04,,,,983.52,0.0,
2005-01-05,,,,995.32,0.0,
2005-01-06,,,,986.67,0.0,
2005-01-07,,,,989.65,0.0,
2005-01-10,,,,1001.98,0.0,
2005-01-11,,,,1003.93,0.0,
2005-01-12,,,,1003.79,0.0,
2005-01-13,,,,1003.4,0.0,
2005-01-14,,,,997.01,0.0,
2005-01-17,,,,977.22,0.0,
2005-01-18,,,,988.61,0.0,
2005-01-19,,,,983.57,0.0,
2005-01-20,,,,970.77,0.0,
2005-01-21,,,,987.37,0.0,
2005-01-24,,,,1002.98,0.0,
2005-01-25,,,,1003.31,0.0,
2005-01-26,,,,995.07,0.0,
2005-01-27,,,,978.39,0.0,
2005-01-28,,,,971.98,0.0,
2005-01-31,,,,956.38,0.0,
2005-02-01,,,,952.2,0.0,
2005-02-02,,,,995.63,0.0,
2005-02-03,,,,980.75,0.0,
2005-02-04,,,,997.49,0.0,
2005-02-16,,,,1003.69,0.0,
2005-02-17,,,,1003.35,0.0,
2005-02-18,,,,990.35,0.0,
2005-02-21,,,,1007.25,0.0,
2005-02-22,,,,1029.15,0.0,
2005-02-23,,,,1033.13,0.0,
2005-02-24,,,,1039.08,0.0,
2005-02-25,,,,1043.41,0.0,
2005-02-28,,,,1041.82,0.0,
2005-03-01,,,,1044.83,0.0,
2005-03-02,,,,1028.18,0.0,
2005-03-03,,,,1032.52,0.0,
2005-03-04,,,,1028.14,0.0,
2005-03-07,,,,1034.03,0.0,
2005-03-08,,,,1051.36,0.0,
2005-03-09,,,,1055.45,0.0,
2005-03-10,,,,1036.01,0.0,
2005-03-11,,,,1035.29,0.0,
2005-03-14,,,,1045.77,0.0,
2005-03-15,,,,1033.48,0.0,
2005-03-16,,,,1028.03,0.0,
2005-03-17,,,,1021.58,0.0,
2005-03-18,,,,1004.78,0.0,
2005-03-21,,,,1010.22,0.0,
2005-03-22,,,,998.96,0.0,
2005-03-23,,,,1001.92,0.0,
2005-03-24,,,,1005.03,0.0,
2005-03-25,,,,1004.78,0.0,
2005-03-28,,,,1011.07,0.0,
2005-03-29,,,,1001.59,0.0,
2005-03-30,,,,977.13,0.0,
2005-03-31,,,,980.88,0.0,
2005-04-01,,,,1010.85,0.0,
2005-04-04,,,,997.46,0.0,
2005-04-05,,,,990.6,0.0,
2005-04-06,,,,1002.77,0.0,
2005-04-07,,,,1018.04,0.0,
2005-04-08,,,,1034.34,0.0,
2005-04-11,,,,1028.31,0.0,
2005-04-12,,,,1009.84,0.0,
2005-04-13,,,,1026.89,0.0,
2005-04-14,,,,1013.09,0.0,
2005-04-15,,,,1000.8,0.0,
2005-04-18,,,,987.21,0.0,
2005-04-19,,,,985.08,0.0,
2005-04-20,,,,969.42,0.0,
2005-04-21,,,,951.78,0.0,
2005-04-22,,,,952.76,0.0,
2005-04-25,,,,959.43,0.0,
2005-04-26,,,,971.57,0.0,
2005-04-27,,,,966.54,0.0,
2005-04-28,,,,990.5,0.0,
2005-04-29,,,,981.07,0.0,
2005-05-09,,,,956.2,0.0,
2005-05-10,,,,957.44,0.0,
2005-05-11,,,,947.24,0.0,
2005-05-12,,,,937.09,0.0,
2005-05-13,,,,936.89,0.0,
2005-05-16,,,,936.65,0.0,
2005-05-17,,,,946.68,0.0,
2005-05-18,,,,945.55,0.0,
2005-05-19,,,,947.03,0.0,
2005-05-20,,,,945.19,0.0,
2005-05-23,,,,921.84,0.0,
2005-05-24,,,,931.36,0.0,
2005-05-25,,,,926.89,0.0,
2005-05-26,,,,910.83,0.0,
2005-05-27,,,,895.78,0.0,
2005-05-30,,,,907.68,0.0,
2005-05-31,,,,908.42,0.0,
2005-06-01,,,,891.55,0.0,
2005-06-02,,,,868.3,0.0,
2005-06-03,,,,865.48,0.0,
2005-06-06,,,,889.11,0.0,
2005-06-07,,,,890.07,0.0,
2005-06-08,,,,965.02,0.0,
2005-06-09,,,,963.3,0.0,
2005-06-10,,,,942.43,0.0,
2005-06-13,,,,942.78,0.0,
2005-06-14,,,,931.89,0.0,
2005-06-15,,,,913.66,0.0,
2005-06-16,,,,923.87,0.0,
2005-06-17,,,,923.51,0.0,
2005-06-20,,,,955.69,0.0,
2005-06-21,,,,947.11,0.0,
2005-06-22,,,,954.08,0.0,
2005-06-23,,,,948.19,0.0,
2005-06-24,,,,953.52,0.0,
2005-06-27,,,,975.54,0.0,
2005-06-28,,,,962.87,0.0,
2005-06-29,,,,959.01,0.0,
2005-06-30,,,,937.43,0.0,
2005-07-01,,,,915.16,0.0,
2005-07-04,,,,912.02,0.0,
2005-07-05,,,,903.88,0.0,
2005-07-06,,,,897.92,0.0,
2005-07-07,,,,901.31,0.0,
2005-07-08,,,,891.54,0.0,
2005-07-11,,,,887.43,0.0,
2005-07-12,,,,912.97,0.0,
2005-07-13,,,,897.68,0.0,
2005-07-14,,,,896.77,0.0,
2005-07-15,,,,887.36,0.0,
2005-07-18,,,,869.52,0.0,
2005-07-19,,,,871.77,0.0,
2005-07-20,,,,879.21,0.0,
2005-07-21,,,,877.01,0.0,
2005-07-22,,,,895.03,0.0,
2005-07-25,,,,893.32,0.0,
2005-07-26,,,,908.71,0.0,
2005-07-27,,,,922.54,0.0,
2005-07-28,,,,919.12,0.0,
2005-07-29,,,,915.94,0.0,
2005-08-01,,,,922.69,0.0,
2005-08-02,,,,932.48,0.0,
2005-08-03,,,,938.0,0.0,
2005-08-04,,,,937.74,0.0,
2005-08-05,,,,959.07,0.0,
2005-08-08,,,,961.52,0.0,
2005-08-09,,,,967.55,0.0,
2005-08-10,,,,974.64,0.0,
2005-08-11,,,,991.48,0.0,
2005-08-12,,,,974.63,0.0,
2005-08-15,,,,999.23,0.0,
2005-08-16,,,,1003.93,0.0,
2005-08-17,,,,1016.62,0.0,
2005-08-18,,,,977.08,0.0,
2005-08-19,,,,981.63,0.0,
2005-08-22,,,,992.13,0.0,
2005-08-23,,,,979.34,0.0,
2005-08-24,,,,986.51,0.0,
2005-08-25,,,,990.15,0.0,
2005-08-26,,,,989.24,0.0,
2005-08-29,,,,983.77,0.0,
2005-08-30,,,,980.02,0.0,
2005-08-31,,,,996.86,0.0,
2005-09-01,,,,1016.46,0.0,
2005-09-02,,,,1024.03,0.0,
2005-09-05,,,,1032.94,0.0,
2005-09-06,,,,1009.41,0.0,
2005-09-07,,,,1030.38,0.0,
2005-09-08,,,,1036.15,0.0,
2005-09-09,,,,1028.34,0.0,
2005-09-12,,,,1029.47,0.0,
2005-09-13,,,,1051.76,0.0,
2005-09-14,,,,1055.84,0.0,
2005-09-15,,,,1052.69,0.0,
2005-09-16,,,,1052.7,0.0,
2005-09-19,,,,1057.68,0.0,
2005-09-20,,,,1050.31,0.0,
2005-09-21,,,,1032.34,0.0,
2005-09-22,,,,1009.6,0.0,
2005-09-23,,,,998.53,0.0,
2005-09-26,,,,1002.22,0.0,
2005-09-27,,,,986.28,0.0,
2005-09-28,,,,987.94,0.0,
2005-09-29,,,,1001.36,0.0,
2005-09-30,,,,1004.01,0.0,
2005-10-10,,,,998.92,0.0,
2005-10-11,,,,1015.93,0.0,
2005-10-12,,,,1018.86,0.0,
2005-10-13,,,,1010.43,0.0,
2005-10-14,,,,997.33,0.0,
2005-10-17,,,,995.64,0.0,
2005-10-18,,,,1007.26,0.0,
2005-10-19,,,,1003.93,0.0,
2005-10-20,,,,1000.77,0.0,
2005-10-21,,,,1008.22,0.0,
2005-10-24,,,,1010.58,0.0,
2005-10-25,,,,1000.13,0.0,
2005-10-26,,,,981.63,0.0,
2005-10-27,,,,966.8,0.0,
2005-10-28,,,,954.08,0.0,
2005-10-31,,,,962.25,0.0,
2005-11-01,,,,959.29,0.0,
2005-11-02,,,,969.25,0.0,
2005-11-03,,,,959.58,0.0,
2005-11-04,,,,963.15,0.0,
2005-11-07,,,,969.78,0.0,
2005-11-08,,,,974.14,0.0,
2005-11-09,,,,970.55,0.0,
2005-11-10,,,,951.11,0.0,
2005-11-11,,,,952.64,0.0,
2005-11-14,,,,949.74,0.0,
2005-11-15,,,,939.84,0.0,
2005-11-16,,,,943.05,0.0,
2005-11-17,,,,942.83,0.0,
2005-11-18,,,,961.48,0.0,
2005-11-21,,,,964.62,0.0,
2005-11-22,,,,952.59,0.0,
2005-11-23,,,,956.58,0.0,
2005-11-24,,,,959.15,0.0,
2005-11-25,,,,959.97,0.0,
2005-11-28,,,,952.01,0.0,
2005-11-29,,,,937.8,0.0,
2005-11-30,,,,938.4,0.0,
2005-12-01,,,,936.75,0.0,
2005-12-02,,,,936.15,0.0,
2005-12-05,,,,919.26,0.0,
2005-12-06,,,,922.94,0.0,
2005-12-07,,,,927.13,0.0,
2005-12-08,,,,927.47,0.0,
2005-12-09,,,,939.5,0.0,
2005-12-12,,,,940.62,0.0,
2005-12-13,,,,939.97,0.0,
2005-12-14,,,,952.07,0.0,
2005-12-15,,,,956.41,0.0,
2005-12-16,,,,964.23,0.0,
2005-12-19,,,,965.48,0.0,
2005-12-20,,,,968.29,0.0,
2005-12-21,,,,961.42,0.0,
2005-12-22,,,,969.98,0.0,
2005-12-23,,,,984.16,0.0,
2005-12-26,,,,992.36,0.0,
2005-12-27,,,,994.69,0.0,
2005-12-28,,,,997.07,0.0,
2005-12-29,,,,1013.89,0.0,
2005-12-30,,,,1002.41,0.0,
2006-01-04,,,,1012.27,0.0,
2006-01-05,,,,1021.16,0.0,
2006-01-06,,,,1031.64,0.0,
2006-01-09,,,,1047.52,0.0,
2006-01-10,,,,1043.95,0.0,
2006-01-11,,,,1034.47,0.0,
2006-01-12,,,,1052.93,0.0,
2006-01-13,,,,1057.78,0.0,
2006-01-16,,,,1042.38,0.0,
2006-01-17,,,,1041.84,0.0,
2006-01-18,,,,1061.87,0.0,
