exchange,code,name,full_name,short_name,company_full_name,list_date,board
SH,600060,海信视像,海信视像,海信视像,海信视像科技股份有限公司,1997-04-22,主板
SH,600061,国投资本,国投资本,国投资本,国投资本股份有限公司,1997-05-19,主板
SH,600062,华润双鹤,华润双鹤,华润双鹤,华润双鹤药业股份有限公司,1997-05-22,主板
SH,600063,皖维高新,皖维高新,皖维高新,安徽皖维高新材料股份有限公司,1997-05-28,主板
SH,600064,南京高科,南京高科,南京高科,南京高科股份有限公司,1997-05-06,主板
SH,600066,宇通客车,宇通客车,宇通客车,宇通客车股份有限公司,1997-05-08,主板
SH,600067,冠城新材,冠城新材,冠城新材,冠城大通新材料股份有限公司,1997-05-08,主板
SH,600071,凤凰光学,凤凰光学,凤凰光学,凤凰光学股份有限公司,1997-05-28,主板
SH,600072,中船科技,中船科技,中船科技,中船科技股份有限公司,1997-06-03,主板
SH,600073,光明肉业,光明肉业,光明肉业,上海光明肉业集团股份有限公司,1997-07-04,主板
SH,600075,新疆天业,新疆天业,新疆天业,新疆天业股份有限公司,1997-06-17,主板
SH,600076,康欣新材,康欣新材,康欣新材,康欣新材料股份有限公司,1997-05-26,主板
SH,600078,澄星股份,澄星股份,澄星股份,江苏澄星磷化工股份有限公司,1997-06-27,主板
SH,600079,ST人福,ST人福,ST人福,人福医药集团股份公司,1997-06-06,主板
SH,600080,ST金花,ST金花,ST金花,金花企业(集团)股份有限公司,1997-06-12,主板
SH,600081,东风科技,东风科技,东风科技,东风电子科技股份有限公司,1997-07-03,主板
SH,600082,ST海泰,ST海泰,ST海泰,天津海泰科技发展股份有限公司,1997-06-20,主板
SH,600084,*ST尼雅,*ST尼雅,*ST尼雅,中信尼雅葡萄酒股份有限公司,1997-07-11,主板
SH,600085,同仁堂,同仁堂,同仁堂,北京同仁堂股份有限公司,1997-06-25,主板
SH,600088,中视传媒,中视传媒,中视传媒,中视传媒股份有限公司,1997-06-16,主板
SH,600089,特变电工,特变电工,特变电工,特变电工股份有限公司,1997-06-18,主板
SH,600094,大名城,大名城,大名城,上海大名城企业股份有限公司,1997-07-03,主板
SH,600095,湘财股份,湘财股份,湘财股份,湘财股份有限公司,1997-07-08,主板
SH,600096,云天化,云天化,云天化,云南云天化股份有限公司,1997-07-09,主板
SH,600097,开创国际,开创国际,开创国际,上海开创国际海洋资源股份有限公司,1997-06-19,主板
SH,600098,广州发展,广州发展,广州发展,广州发展集团股份有限公司,1997-07-18,主板
SH,600099,林海股份,林海股份,林海股份,林海股份有限公司,1997-07-04,主板
SH,600100,同方股份,同方股份,同方股份,同方股份有限公司,1997-06-27,主板
SH,600101,明星电力,明星电力,明星电力,四川明星电力股份有限公司,1997-06-27,主板
SH,600103,青山纸业,青山纸业,青山纸业,福建省青山纸业股份有限公司,1997-07-03,主板
SH,600104,上汽集团,上汽集团,上汽集团,上海汽车集团股份有限公司,1997-11-25,主板
SH,600105,永鼎股份,永鼎股份,永鼎股份,江苏永鼎股份有限公司,1997-09-29,主板
SH,600106,重庆路桥,重庆路桥,重庆路桥,重庆路桥股份有限公司,1997-06-18,主板
SH,600107,*ST尔雅,*ST尔雅,*ST尔雅,湖北美尔雅股份有限公司,1997-11-06,主板
SH,600108,亚盛集团,亚盛集团,亚盛集团,甘肃亚盛实业(集团)股份有限公司,1997-08-18,主板
SH,600109,国金证券,国金证券,国金证券,国金证券股份有限公司,1997-08-07,主板
SH,600110,诺德股份,诺德股份,诺德股份,诺德新材料股份有限公司,1997-10-07,主板
SH,600111,北方稀土,北方稀土,北方稀土,中国北方稀土(集团)高科技股份有限公司,1997-09-24,主板
SH,600113,浙江东日,浙江东日,浙江东日,浙江东日股份有限公司,1997-10-21,主板
