status,exchange,code,name,list_date,delist_date
退市,SZ,000602,金马退市,1996-08-19,2013-08-14
退市,SZ,000606,顺利退,1996-10-04,2023-07-06
退市,SZ,000611,天首退,1996-10-08,2022-06-28
退市,SZ,000613,东海A退,1997-01-28,2022-06-29
退市,SZ,000616,*ST海投,1996-11-08,2023-08-23
退市,SZ,000618,吉化退市,1996-10-15,2006-02-20
退市,SZ,000621,*ST 比特,1996-11-05,2004-09-27
退市,SZ,000622,恒立退,1996-11-07,2025-07-16
退市,SZ,000627,*ST天茂,1996-11-12,2025-09-30
退市,SZ,000653,ST 九 州,1996-11-26,2002-09-13
退市,SZ,000658,ST 海 洋,1996-12-18,2002-09-20
退市,SZ,000660,*ST 南华,1996-12-09,2004-09-13
退市,SZ,000662,天夏退,1996-12-16,2021-04-12
退市,SZ,000666,经纬纺机,1996-12-10,2023-10-26
退市,SZ,000667,ST美置,1996-12-05,2023-07-14
退市,SZ,000671,ST阳光城,1996-12-18,2023-08-16
退市,SZ,000673,当代退,1997-01-24,2022-07-04
退市,SZ,000675,ST 银 山,1996-12-26,2002-08-20
退市,SZ,000687,华讯退,1997-02-21,2022-06-17
退市,SZ,000689,ST 宏 业,1996-12-31,2002-09-05
退市,SZ,000693,华泽退,1997-02-26,2019-07-09
退市,SZ,000699,*ST 佳纸,1997-03-10,2007-04-04
退市,SZ,000730,*ST 环保,1997-05-22,2004-09-24
退市,SZ,000732,ST泰禾,1997-07-04,2023-08-04
退市,SZ,000748,长城信息,1997-07-04,2017-01-18
退市,SZ,000760,斯太退,1997-06-27,2021-07-23
退市,SZ,000763,锦化退市,1997-09-15,2006-01-04
退市,SZ,000765,*ST 华信,1997-11-03,2005-07-04
退市,SZ,000769,*ST 大菲,1997-05-30,2005-09-21
退市,SZ,000780,ST平能,1997-06-06,2022-01-24
退市,SZ,000787,*ST 创智,1997-06-26,2013-02-08
退市,SZ,000805,*ST炎黄,1998-05-29,2013-03-27
退市,SZ,000806,银河退,1998-04-16,2023-07-06
