exchange,code,name,status,list_date,delist_date,industry,province
SH,600701,退市工新,退市,19960528,20210506,信息传输、软件和信息技术服务业,黑龙江省
SH,600705,中航产融,退市,19960516,20250527,金融业,黑龙江省
SH,600709,ST生  态,退市,19960618,20030526,农、林、牧、渔业,湖北省
SH,600723,首商股份,退市,19960716,20211022,批发和零售业,北京市
SH,600747,退市大控,退市,19960916,20191213,批发和零售业,辽宁省
SH,600752,*ST哈 慈,退市,19960925,20050922,制造业,黑龙江省
SH,600762,*ST金 荔,退市,19961025,20071120,农、林、牧、渔业,湖南省
SH,600766,退市园城,退市,19961028,20240703,批发和零售业,山东省
SH,600767,退市运盛,退市,19961115,20230629,信息传输、软件和信息技术服务业,四川省
SH,600772,*ST龙 昌,退市,19961104,20061130,交通运输、仓储和邮政业,上海市
SH,600781,退市辅仁,退市,19961218,20230628,制造业,河南省
SH,600786,东锅退市,退市,19961227,20080324,其它,四川省
SH,600788,*ST达 曼,退市,19961230,20050325,制造业,陕西省
SH,600799,*ST龙 科,退市,19970416,20060104,信息传输、软件和信息技术服务业,黑龙江省
SH,600804,退市鹏博,退市,19940103,20250703,信息传输、软件和信息技术服务业,山东省
SH,600806,退市昆机,退市,19940103,20180713,制造业,云南省
SH,600811,*ST东方,退市,19940106,20250430,制造业,黑龙江省
SH,600813,ST鞍一工,退市,19940114,20020916,制造业,辽宁省
SH,600823,*ST世茂,退市,19940204,20240614,房地产业,上海市
SH,600832,东方明珠,退市,19940224,20150520,水利、环境和公共设施管理业,上海市
SH,600836,*ST易连,退市,19940224,20240711,制造业,上海市
SH,600837,海通证券,退市,19940224,20250304,金融业,上海市
SH,600840,新湖创业,退市,19940311,20090827,其它,浙江省
SH,600842,中西药业,退市,19940311,20100212,其它,上海市
SH,600852,*ST中 川,退市,19940404,20050916,建筑业,四川省
SH,600856,退市中天,退市,19940425,20220622,电力、热力、燃气及水生产和供应业,北京市
SH,600870,退市厦华,退市,19950228,20220630,制造业,福建省
SH,600878,*ST北 科,退市,19951013,20040915,综合,辽宁省
SH,600890,退市中房,退市,19960318,20220621,房地产业,北京市
SH,600891,退市秋林,退市,19960325,20210512,制造业,黑龙江省
SH,600896,退市海医,退市,19960503,20220725,卫生和社会工作,海南省
SH,600898,*ST美讯,退市,19960418,20250210,制造业,山东省
SH,600899,*ST信 联,退市,19960426,20050921,文化、体育和娱乐业,浙江省
SH,600978,*ST宜生,退市,20040824,20210322,制造业,广东省
SH,600991,广汽长丰,退市,20040614,20120320,其它,湖南省
SH,601028,玉龙股份,退市,20111107,20250527,采矿业,山东省
SH,601258,*ST庞大,退市,20110428,20230630,批发和零售业,河北省
SH,601268,*ST二重,退市,20100202,20150521,其它,四川省
SH,601299,中国北车,退市,20091229,20150520,制造业,北京市
