date,close_monthly
2004-06-30,16.4
2004-07-31,15.15
2004-08-31,13.67
2004-09-30,16.49
2004-10-31,15.59
2004-11-30,14.59
2004-12-31,13.46
2005-01-31,11.0
2005-02-28,12.76
2005-03-31,10.87
2005-04-30,9.89
2005-05-31,9.32
2005-06-30,10.3
2005-07-31,10.19
2005-08-31,12.75
2005-09-30,13.05
2005-10-31,13.81
2005-11-30,15.07
2005-12-31,13.78
2006-01-31,13.45
2006-02-28,13.35
2006-03-31,13.19
2006-04-30,14.12
2006-05-31,16.4
2006-06-30,15.97
2006-07-31,14.04
2006-08-31,13.72
2006-09-30,15.36
2006-10-31,15.6
2006-11-30,17.57
2006-12-31,19.89
2007-01-31,26.84
2007-02-28,29.97
2007-03-31,32.88
2007-04-30,50.51
2007-05-31,63.31
2007-06-30,50.3
2007-07-31,62.28
2007-08-31,63.33
2007-09-30,54.68
2007-10-31,53.12
2007-11-30,53.42
2007-12-31,82.3
2008-01-31,66.47
2008-02-29,74.68
2008-03-31,58.72
2008-04-30,41.46
2008-05-31,37.63
2008-06-30,23.76
2008-07-31,27.97
2008-08-31,18.73
2008-09-30,19.57
2008-10-31,16.67
2008-11-30,19.24
2008-12-31,27.64
2009-01-31,28.18
2009-02-28,35.78
2009-03-31,45.13
2009-04-30,42.58
2009-05-31,40.6
2009-06-30,41.22
2009-07-31,48.01
2009-08-31,51.11
2009-09-30,59.04
2009-10-31,75.09
2009-11-30,87.17
2009-12-31,94.73
2010-01-31,98.47
2010-02-28,100.52
2010-03-31,102.51
2010-04-30,114.02
2010-05-31,116.18
2010-06-30,105.7
2010-07-31,105.77
2010-08-31,117.23
2010-09-30,130.45
2010-10-31,125.17
2010-11-30,112.16
2010-12-31,112.82
2011-01-31,87.71
2011-02-28,95.15
2011-03-31,89.66
2011-04-30,94.02
2011-05-31,89.85
2011-06-30,96.48
2011-07-31,101.61
2011-08-31,97.91
2011-09-30,88.95
2011-10-31,85.93
2011-11-30,92.84
2011-12-31,72.73
2012-01-31,66.68
2012-02-29,79.15
2012-03-31,76.33
2012-04-30,80.86
2012-05-31,92.53
2012-06-30,97.42
2012-07-31,109.54
2012-08-31,104.82
2012-09-30,100.34
2012-10-31,100.41
2012-11-30,83.13
2012-12-31,104.3
2013-01-31,103.91
2013-02-28,104.56
2013-03-31,102.55
2013-04-30,94.89
2013-05-31,96.31
2013-06-30,91.51
2013-07-31,106.9
2013-08-31,117.53
2013-10-31,103.45
2013-11-30,101.53
2013-12-31,100.73
2014-01-31,98.8
2014-02-28,119.32
2014-03-31,112.41
2014-04-30,112.88
2014-05-31,117.53
2014-06-30,123.5
2014-07-31,132.14
2014-08-31,132.0
2014-09-30,128.62
2014-10-31,137.7
2014-11-30,124.56
2014-12-31,117.14
2015-01-31,134.94
2015-02-28,161.69
2015-03-31,206.58
2015-04-30,225.72
2015-05-31,283.99
2015-06-30,220.07
2015-07-31,211.25
2015-08-31,172.43
2015-09-30,158.19
2015-10-31,232.11
2015-11-30,227.19
2015-12-31,239.91
2016-01-31,158.02
