date,close_monthly
2011-03-31,16.03
2011-04-30,14.53
2011-05-31,12.7
2011-06-30,15.48
2011-07-31,13.53
2011-08-31,13.17
2011-09-30,11.07
2011-10-31,10.94
2011-11-30,9.04
2011-12-31,8.45
2012-01-31,8.55
2012-02-29,9.97
2012-03-31,7.94
2012-04-30,8.5
2012-05-31,8.36
2012-06-30,6.68
2012-07-31,6.01
2012-08-31,5.41
2012-09-30,5.96
2012-10-31,5.79
2012-11-30,5.79
2012-12-31,8.23
2013-01-31,8.07
2013-02-28,8.0
2013-03-31,6.9
2013-04-30,6.6
2013-05-31,6.36
2013-06-30,5.08
2013-07-31,4.94
2013-08-31,5.38
2013-09-30,5.57
2013-10-31,6.58
2013-11-30,7.6
2013-12-31,7.01
2014-01-31,6.13
2014-02-28,5.27
2014-03-31,6.67
2014-04-30,5.97
2014-05-31,5.79
2014-06-30,5.8
2014-07-31,6.66
2014-08-31,6.58
2014-09-30,6.92
2014-10-31,7.5
2014-11-30,9.29
2014-12-31,10.6
2015-01-31,10.25
2015-02-28,10.07
2015-03-31,11.68
2015-04-30,13.33
2015-05-31,12.15
2015-06-30,12.54
2015-07-31,10.66
2015-08-31,8.65
2015-09-30,8.02
2015-10-31,8.98
2015-11-30,10.03
2015-12-31,9.83
2016-01-31,8.0
2016-02-29,8.55
2016-03-31,9.46
2016-04-30,8.87
2016-05-31,8.38
2016-06-30,8.13
2016-07-31,8.49
2016-08-31,9.06
2016-09-30,9.1
2016-10-31,9.25
2016-11-30,9.57
2016-12-31,9.4
2017-01-31,9.12
2017-02-28,10.05
2017-03-31,9.82
2017-04-30,17.02
2017-05-31,14.22
2017-06-30,13.63
2017-07-31,12.94
2017-08-31,14.71
2017-09-30,13.47
2017-10-31,12.52
2017-11-30,12.58
2017-12-31,11.52
2018-01-31,11.86
2018-02-28,11.35
2018-03-31,10.61
2018-04-30,8.89
2018-05-31,8.38
2018-06-30,6.96
2018-07-31,7.97
2018-08-31,7.6
2018-09-30,7.99
2018-10-31,7.11
2018-11-30,7.43
2018-12-31,7.54
2019-01-31,7.21
2019-02-28,8.66
2019-03-31,9.56
2019-04-30,8.46
2019-05-31,7.86
2019-06-30,8.1
2019-07-31,7.62
2019-08-31,7.36
2019-09-30,7.25
2019-10-31,7.12
2019-11-30,7.14
2019-12-31,8.15
2020-01-31,7.43
2020-02-29,7.36
2020-03-31,7.17
2020-04-30,7.06
2020-05-31,6.88
2020-06-30,6.69
2020-07-31,7.31
2020-08-31,7.47
2020-09-30,6.95
2020-10-31,6.81
2020-11-30,7.02
2020-12-31,6.72
2021-01-31,6.16
2021-02-28,6.47
2021-03-31,6.68
2021-04-30,6.29
2021-05-31,6.25
2021-06-30,6.09
2021-07-31,5.86
2021-08-31,6.27
2021-09-30,6.53
2021-10-31,6.51
2021-11-30,6.23
2021-12-31,6.58
2022-01-31,6.34
2022-02-28,6.67
2022-03-31,7.08
2022-04-30,6.48
2022-05-31,6.51
2022-06-30,6.41
2022-07-31,6.33
2022-08-31,6.3
2022-09-30,5.99
2022-10-31,5.61
2022-11-30,6.42
2022-12-31,6.11
2023-01-31,6.09
2023-02-28,6.28
2023-03-31,5.9
2023-04-30,5.8
2023-05-31,5.25
2023-06-30,5.25
2023-07-31,5.98
2023-08-31,5.46
2023-09-30,5.46
2023-10-31,5.14
2023-11-30,5.01
2023-12-31,4.74
2024-01-31,4.54
2024-02-29,4.84
2024-03-31,4.62
2024-04-30,4.64
2024-05-31,4.24
2024-06-30,3.4
2024-07-31,3.57
2024-08-31,3.39
2024-09-30,4.68
2024-10-31,4.68
2024-11-30,4.76
2024-12-31,4.5
2025-01-31,4.22
2025-02-28,4.27
2025-03-31,4.1
2025-04-30,3.87
2025-05-31,3.9
2025-06-30,3.84
2025-07-31,4.18
2025-08-31,4.26
2025-09-30,4.33
2025-10-31,4.49
2025-11-30,4.46
2025-12-31,4.36
2026-01-31,5.06
2026-02-28,5.35
2026-03-31,4.7
2026-04-30,4.33
2026-05-31,4.44
