date,close_monthly
2020-05-31,29.1
2020-06-30,23.79
2020-07-31,24.36
2020-08-31,29.25
2020-09-30,26.15
2020-10-31,28.79
2020-11-30,25.4
2020-12-31,23.16
2021-01-31,20.72
2021-02-28,21.64
2021-03-31,22.61
2021-04-30,21.58
2021-05-31,20.58
2021-06-30,19.44
2021-07-31,19.18
2021-08-31,20.15
2021-09-30,19.27
2021-10-31,16.97
2021-11-30,18.53
2021-12-31,18.15
2022-01-31,16.96
2022-02-28,17.28
2022-03-31,16.31
2022-04-30,13.47
2022-05-31,15.42
2022-06-30,15.37
2022-07-31,16.6
2022-08-31,14.81
2022-09-30,13.29
2022-10-31,13.76
2022-11-30,16.1
2022-12-31,17.15
2023-01-31,19.68
2023-02-28,21.98
2023-03-31,21.98
2023-04-30,22.03
2023-05-31,23.28
2023-06-30,22.58
2023-07-31,21.39
2023-08-31,18.45
2023-09-30,20.5
2023-10-31,20.88
2023-11-30,25.06
2023-12-31,23.25
2024-01-31,20.79
2024-02-29,21.56
2024-03-31,25.77
2024-04-30,22.72
2024-05-31,22.43
2024-06-30,20.35
2024-07-31,19.23
2024-08-31,17.87
2024-09-30,20.71
2024-10-31,23.48
2024-11-30,25.11
2024-12-31,26.59
2025-01-31,27.46
2025-02-28,36.74
2025-03-31,38.91
2025-04-30,37.94
2025-05-31,35.93
2025-06-30,38.12
2025-07-31,35.56
2025-08-31,51.13
2025-09-30,56.14
2025-10-31,50.37
2025-11-30,47.08
2025-12-31,44.09
2026-01-31,45.84
2026-02-28,67.79
2026-03-31,56.49
2026-04-30,84.76
2026-05-31,106.69
