date,close_monthly
2022-09-30,25.59
2022-10-31,25.22
2022-11-30,31.36
2022-12-31,30.75
2023-01-31,31.88
2023-02-28,34.68
2023-03-31,28.77
2023-04-30,26.55
2023-05-31,26.29
2023-06-30,28.82
2023-07-31,37.58
2023-08-31,35.38
2023-09-30,30.69
2023-10-31,31.02
2023-11-30,30.73
2023-12-31,28.13
2024-01-31,23.91
2024-02-29,26.57
2024-03-31,27.43
2024-04-30,26.42
2024-05-31,23.7
2024-06-30,19.97
2024-07-31,19.81
2024-08-31,16.13
2024-09-30,20.77
2024-10-31,19.27
2024-11-30,20.6
2024-12-31,17.2
2025-01-31,17.78
2025-02-28,17.72
2025-03-31,17.37
2025-04-30,17.98
2025-05-31,19.01
2025-06-30,25.48
2025-07-31,30.85
2025-08-31,36.76
2025-09-30,45.65
2025-10-31,44.6
2025-11-30,49.33
2025-12-31,56.28
2026-01-31,36.81
2026-02-28,37.91
2026-03-31,37.16
2026-04-30,33.61
2026-05-31,34.21
