date,close_monthly
2006-10-31,3.3
2006-11-30,3.81
2006-12-31,6.2
2007-01-31,5.01
2007-02-28,4.9
2007-03-31,5.49
2007-04-30,5.42
2007-05-31,5.48
2007-06-30,5.03
2007-07-31,5.76
2007-08-31,6.86
2007-09-30,6.63
2007-10-31,8.77
2007-11-30,8.02
2007-12-31,8.16
2008-01-31,6.55
2008-02-29,6.55
2008-03-31,6.15
2008-04-30,6.68
2008-05-31,5.9
2008-06-30,5.11
2008-07-31,5.22
2008-08-31,5.08
2008-09-30,4.48
2008-10-31,3.73
2008-11-30,3.94
2008-12-31,3.64
2009-01-31,3.77
2009-02-28,3.84
2009-03-31,4.06
2009-04-30,4.21
2009-05-31,4.47
2009-06-30,5.78
2009-07-31,5.79
2009-08-31,4.77
2009-09-30,5.09
2009-10-31,5.4
2009-11-30,5.58
2009-12-31,5.81
2010-01-31,5.18
2010-02-28,5.2
2010-03-31,5.31
2010-04-30,4.84
2010-05-31,4.72
2010-06-30,4.5
2010-07-31,4.78
2010-08-31,4.52
2010-09-30,4.48
2010-10-31,4.83
2010-11-30,4.74
2010-12-31,4.78
2011-01-31,4.8
2011-02-28,4.81
2011-03-31,5.04
2011-04-30,5.15
2011-05-31,5.15
2011-06-30,5.25
2011-07-31,5.0
2011-08-31,4.87
2011-09-30,4.68
2011-10-31,5.08
2011-11-30,4.93
2011-12-31,4.99
2012-01-31,5.06
2012-02-29,5.21
2012-03-31,5.1
2012-04-30,5.14
2012-05-31,4.97
2012-06-30,4.89
2012-07-31,4.64
2012-08-31,4.72
2012-09-30,4.64
2012-10-31,4.72
2012-11-30,4.8
2012-12-31,5.13
2013-01-31,5.44
2013-02-28,5.21
2013-03-31,5.01
2013-04-30,5.01
2013-05-31,5.17
2013-06-30,5.29
2013-07-31,5.12
2013-08-31,5.13
2013-09-30,5.08
2013-10-31,5.03
2013-11-30,5.0
2013-12-31,4.71
2014-01-31,4.49
2014-02-28,4.4
2014-03-31,4.54
2014-04-30,4.53
2014-05-31,4.69
2014-06-30,4.8
2014-07-31,5.1
2014-08-31,4.9
2014-09-30,5.0
2014-10-31,5.18
2014-11-30,5.72
2014-12-31,6.9
2015-01-31,6.43
2015-02-28,6.49
2015-03-31,6.88
2015-04-30,7.66
2015-05-31,7.18
2015-06-30,7.48
2015-07-31,7.16
2015-08-31,6.21
2015-09-30,6.4
2015-10-31,6.77
2015-11-30,6.84
2015-12-31,6.79
2016-01-31,6.07
2016-02-29,5.97
2016-03-31,6.36
2016-04-30,6.31
2016-05-31,6.46
2016-06-30,6.58
2016-07-31,6.71
2016-08-31,7.07
2016-09-30,6.91
2016-10-31,6.91
2016-11-30,7.06
2016-12-31,6.88
2017-01-31,7.18
2017-02-28,7.32
2017-03-31,7.55
2017-04-30,7.62
2017-05-31,8.19
2017-06-30,8.19
2017-07-31,9.0
2017-08-31,9.64
2017-09-30,9.8
2017-10-31,9.97
2017-11-30,9.67
2017-12-31,10.13
2018-01-31,12.22
2018-02-28,10.9
2018-03-31,9.95
2018-04-30,9.8
2018-05-31,9.25
2018-06-30,8.69
2018-07-31,9.64
2018-08-31,9.28
2018-09-30,9.85
2018-10-31,9.61
2018-11-30,9.1
2018-12-31,9.03
2019-01-31,9.66
2019-02-28,9.81
2019-03-31,9.51
2019-04-30,9.92
2019-05-31,9.57
2019-06-30,10.05
2019-07-31,10.05
2019-08-31,9.61
2019-09-30,9.85
2019-10-31,10.53
2019-11-30,10.32
2019-12-31,10.48
2020-01-31,10.19
2020-02-29,9.44
2020-03-31,9.18
2020-04-30,9.21
2020-05-31,9.12
2020-06-30,9.34
2020-07-31,9.3
2020-08-31,9.3
2020-09-30,9.23
2020-10-31,9.23
2020-11-30,9.98
2020-12-31,9.36
2021-01-31,9.55
2021-02-28,10.07
2021-03-31,10.39
2021-04-30,9.62
2021-05-31,9.77
2021-06-30,9.7
2021-07-31,9.07
2021-08-31,9.13
2021-09-30,9.21
2021-10-31,9.23
2021-11-30,9.05
2021-12-31,9.15
2022-01-31,9.21
2022-02-28,9.21
2022-03-31,9.43
2022-04-30,9.45
2022-05-31,9.21
2022-06-30,9.43
2022-07-31,9.22
2022-08-31,9.22
2022-09-30,9.16
2022-10-31,8.74
2022-11-30,9.06
2022-12-31,9.14
2023-01-31,9.1
2023-02-28,9.06
2023-03-31,9.39
2023-04-30,9.94
2023-05-31,10.17
2023-06-30,10.15
2023-07-31,10.71
2023-08-31,10.38
2023-09-30,10.51
2023-10-31,10.62
2023-11-30,10.8
2023-12-31,10.74
2024-01-31,11.61
2024-02-29,11.97
2024-03-31,11.86
2024-04-30,12.2
2024-05-31,12.2
2024-06-30,12.8
2024-07-31,13.82
2024-08-31,14.13
2024-09-30,14.6
2024-10-31,14.27
2024-11-30,14.53
2024-12-31,16.35
2025-01-31,16.46
2025-02-28,16.58
2025-03-31,16.63
2025-04-30,16.92
2025-05-31,17.07
2025-06-30,18.32
2025-07-31,18.63
2025-08-31,18.31
2025-09-30,17.99
2025-10-31,19.18
2025-11-30,19.99
2025-12-31,19.9
2026-01-31,18.19
2026-02-28,17.36
2026-03-31,19.17
2026-04-30,18.69
2026-05-31,18.74
