date,close_monthly
2012-07-31,8.9
2012-08-31,13.45
2012-09-30,11.44
2012-10-31,10.63
2012-11-30,10.61
2012-12-31,15.15
2013-01-31,14.79
2013-02-28,14.35
2013-03-31,12.3
2013-04-30,10.66
2013-05-31,12.45
2013-06-30,9.8
2013-07-31,10.0
2013-08-31,10.26
2013-09-30,10.47
2013-10-31,9.37
2013-11-30,10.48
2013-12-31,10.22
2014-01-31,9.49
2014-02-28,10.4
2014-03-31,10.5
2014-04-30,11.2
2014-05-31,11.14
2014-06-30,11.88
2014-07-31,12.22
2014-08-31,12.5
2014-09-30,14.35
2014-10-31,15.0
2014-11-30,15.11
2014-12-31,15.41
2015-01-31,14.93
2015-02-28,15.38
2015-05-31,23.06
2015-06-30,20.3
2015-07-31,15.74
2015-08-31,17.64
2015-09-30,14.52
2015-10-31,17.71
2015-11-30,22.06
2015-12-31,23.95
2016-02-29,26.03
2016-07-31,18.73
2016-08-31,21.04
2016-09-30,22.63
2016-10-31,26.63
2016-11-30,27.07
2016-12-31,32.56
2017-01-31,34.81
2017-02-28,25.79
2017-03-31,25.25
2017-04-30,25.29
2017-05-31,24.41
2017-06-30,23.65
2017-07-31,26.25
2017-08-31,27.26
2017-09-30,28.07
2017-10-31,26.71
2017-11-30,25.3
2017-12-31,24.34
2018-01-31,24.31
2018-02-28,23.69
2018-03-31,23.27
2018-04-30,29.69
2018-05-31,20.7
2018-06-30,21.42
2018-07-31,17.17
2018-08-31,14.25
2018-09-30,14.8
2018-10-31,12.26
2018-11-30,11.87
2018-12-31,12.69
2019-01-31,11.23
2019-02-28,13.53
2019-03-31,16.4
2019-04-30,12.93
2019-05-31,11.95
2019-06-30,11.8
2019-07-31,13.63
2019-08-31,10.87
2019-09-30,10.61
2019-10-31,10.54
2019-11-30,9.95
2019-12-31,10.32
2020-01-31,9.89
2020-02-29,8.63
2020-03-31,8.61
2020-04-30,8.39
2020-05-31,8.65
2020-06-30,8.39
2020-07-31,11.9
2020-08-31,9.93
2020-09-30,8.73
2020-10-31,8.47
2020-11-30,8.4
2020-12-31,7.9
2021-01-31,7.25
2021-02-28,6.85
2021-03-31,7.02
2021-04-30,6.92
2021-05-31,7.09
2021-06-30,7.23
2021-07-31,7.14
2021-08-31,8.26
2021-09-30,7.73
2021-10-31,7.11
2021-11-30,7.49
2021-12-31,8.69
2022-01-31,8.35
2022-02-28,8.88
2022-03-31,9.85
2022-04-30,7.4
2022-05-31,8.61
2022-06-30,9.36
2022-07-31,10.07
2022-08-31,9.59
2022-09-30,8.02
2022-10-31,9.22
2022-11-30,9.6
2022-12-31,9.12
2023-01-31,10.17
2023-02-28,10.67
2023-03-31,9.78
2023-04-30,9.33
2023-05-31,10.15
2023-06-30,10.78
2023-07-31,10.99
2023-08-31,10.8
2023-09-30,13.01
2023-10-31,10.55
2023-11-30,12.62
2023-12-31,12.93
2024-01-31,10.48
2024-02-29,10.08
2024-03-31,11.2
2024-04-30,9.6
2024-05-31,9.15
2024-06-30,7.58
2024-07-31,7.8
2024-08-31,8.13
2024-09-30,10.37
2024-10-31,10.3
2024-11-30,10.41
2024-12-31,8.73
2025-01-31,14.41
2025-02-28,16.71
2025-03-31,14.9
2025-04-30,13.95
2025-05-31,13.5
2025-06-30,14.5
2025-07-31,14.19
2025-08-31,15.43
2025-09-30,15.21
2025-10-31,14.43
2025-11-30,15.12
2025-12-31,15.62
2026-01-31,14.88
2026-02-28,15.76
2026-03-31,13.15
2026-04-30,9.42
2026-05-31,9.56
