date,close_monthly
2021-09-30,6.19
2021-10-31,5.22
2021-11-30,5.2
2021-12-31,6.06
2022-01-31,5.31
2022-02-28,5.68
2022-03-31,5.25
2022-04-30,4.67
2022-05-31,5.26
2022-06-30,4.93
2022-07-31,5.02
2022-08-31,4.78
2022-09-30,4.27
2022-10-31,4.29
2022-11-30,4.59
2022-12-31,4.34
2023-01-31,4.5
2023-02-28,4.47
2023-03-31,4.48
2023-04-30,4.79
2023-05-31,4.59
2023-06-30,4.47
2023-07-31,4.67
2023-08-31,4.41
2023-09-30,4.43
2023-10-31,4.24
2023-11-30,4.31
2023-12-31,4.26
2024-01-31,4.14
2024-02-29,4.24
2024-03-31,4.09
2024-04-30,4.35
2024-05-31,4.24
2024-06-30,4.06
2024-07-31,4.25
2024-08-31,3.89
2024-09-30,4.48
2024-10-31,4.32
2024-11-30,4.48
2024-12-31,4.29
2025-01-31,4.13
2025-02-28,4.11
2025-03-31,4.12
2025-04-30,4.1
2025-05-31,4.24
2025-06-30,4.24
2025-07-31,4.48
2025-08-31,4.42
2025-09-30,4.35
2025-10-31,4.41
2025-11-30,4.28
2025-12-31,4.25
2026-01-31,4.41
2026-02-28,4.41
2026-03-31,4.45
2026-04-30,4.17
2026-05-31,4.18
