date,close_monthly
2018-09-30,52.49
2018-10-31,44.05
2018-11-30,41.02
2018-12-31,39.28
2019-01-31,52.0
2019-02-28,67.39
2019-03-31,71.8
2019-04-30,70.44
2019-05-31,52.69
2019-06-30,54.47
2019-07-31,47.58
2019-08-31,48.39
2019-09-30,46.65
2019-10-31,52.6
2019-11-30,59.12
2019-12-31,65.78
2020-01-31,72.93
2020-02-29,72.07
2020-03-31,58.87
2020-04-30,73.11
2020-05-31,76.54
2020-06-30,101.01
2020-07-31,122.08
2020-08-31,154.46
2020-09-30,137.87
2020-10-31,137.87
2020-11-30,131.39
2020-12-31,160.85
2021-01-31,189.07
2021-02-28,168.95
2021-03-31,148.38
2021-04-30,127.47
2021-05-31,141.49
2021-06-30,148.42
2021-07-31,142.15
2021-08-31,147.49
2021-09-30,124.5
2021-10-31,134.5
2021-11-30,150.8
2021-12-31,145.52
2022-01-31,121.48
2022-02-28,106.88
2022-03-31,86.26
2022-04-30,77.99
2022-05-31,90.63
2022-06-30,97.9
2022-07-31,97.16
2022-08-31,84.35
2022-09-30,76.62
2022-10-31,73.49
2022-11-30,79.57
2022-12-31,75.44
2023-01-31,79.63
2023-02-28,85.38
2023-03-31,72.66
2023-04-30,57.28
2023-05-31,55.25
2023-06-30,63.57
2023-07-31,57.87
2023-08-31,53.36
2023-09-30,52.97
2023-10-31,59.78
2023-11-30,62.2
2023-12-31,59.84
2024-01-31,45.95
2024-02-29,51.03
2024-03-31,51.36
2024-04-30,63.79
2024-05-31,57.63
2024-06-30,61.44
2024-07-31,53.21
2024-08-31,49.05
2024-09-30,57.61
2024-10-31,58.84
2024-11-30,68.1
2024-12-31,74.49
2025-01-31,81.12
2025-02-28,116.36
2025-03-31,122.66
2025-04-30,129.32
2025-05-31,109.67
2025-06-30,110.96
2025-07-31,114.55
2025-08-31,130.07
2025-09-30,129.77
2025-10-31,116.19
2025-11-30,107.5
2025-12-31,115.67
2026-01-31,113.3
2026-02-28,111.93
2026-03-31,96.16
2026-04-30,87.75
2026-05-31,88.23
