date,close_monthly
2017-04-30,48.72
2017-05-31,42.8
2017-06-30,42.92
2017-07-31,37.88
2017-08-31,42.86
2017-09-30,47.09
2017-10-31,51.91
2017-11-30,70.75
2017-12-31,79.59
2018-01-31,51.64
2018-02-28,51.05
2018-03-31,57.03
2018-04-30,55.02
2018-05-31,48.13
2018-06-30,40.58
2018-07-31,37.48
2018-08-31,34.19
2018-09-30,32.6
2018-10-31,29.35
2018-11-30,29.77
2018-12-31,29.63
2019-01-31,27.17
2019-02-28,33.58
2019-03-31,36.71
2019-04-30,38.99
2019-05-31,34.79
2019-06-30,35.31
2019-07-31,36.14
2019-08-31,39.38
2019-09-30,47.35
2019-10-31,56.94
2019-11-30,62.04
2019-12-31,59.93
2020-01-31,70.08
2020-02-29,73.19
2020-03-31,68.61
2020-04-30,75.4
2020-05-31,85.03
2020-06-30,128.1
2020-07-31,127.26
2020-08-31,125.33
2020-09-30,111.91
2020-10-31,115.32
2020-11-30,84.53
2020-12-31,92.7
2021-01-31,93.59
2021-02-28,86.09
2021-03-31,83.62
2021-04-30,98.4
2021-05-31,100.2
2021-06-30,102.59
2021-07-31,90.94
2021-08-31,92.71
2021-09-30,98.77
2021-10-31,86.37
2021-11-30,94.67
2021-12-31,91.71
2022-01-31,85.0
2022-02-28,95.1
2022-03-31,102.03
2022-04-30,103.17
2022-05-31,96.78
2022-06-30,100.45
2022-07-31,96.6
2022-08-31,92.65
2022-09-30,84.19
2022-10-31,96.13
2022-11-30,94.34
2022-12-31,79.17
2023-01-31,83.54
2023-02-28,83.72
2023-03-31,80.86
2023-04-30,68.83
2023-05-31,66.29
2023-06-30,71.89
2023-07-31,74.33
2023-08-31,67.66
2023-09-30,69.74
2023-10-31,65.93
2023-11-30,71.6
2023-12-31,67.01
2024-01-31,49.22
2024-02-29,52.95
2024-03-31,50.65
2024-04-30,44.91
2024-05-31,41.19
2024-06-30,33.36
2024-07-31,34.09
2024-08-31,41.48
2024-09-30,49.17
2024-10-31,43.66
2024-11-30,48.66
2024-12-31,43.01
2025-01-31,41.85
2025-02-28,43.44
2025-03-31,40.54
2025-04-30,36.99
2025-05-31,40.61
2025-06-30,42.06
2025-07-31,49.32
2025-08-31,42.65
2025-09-30,41.05
2025-10-31,42.36
2025-11-30,43.01
2025-12-31,39.02
2026-01-31,55.41
2026-02-28,49.03
2026-03-31,45.69
2026-04-30,43.95
2026-05-31,52.8
