date,close_monthly
2015-03-31,23.3
2015-04-30,25.15
2015-05-31,42.94
2015-06-30,25.18
2015-07-31,23.07
2015-08-31,17.68
2015-09-30,16.7
2015-10-31,19.25
2015-11-30,22.65
2015-12-31,28.07
2016-01-31,17.23
2016-02-29,21.26
2016-03-31,26.63
2016-04-30,27.35
2016-05-31,28.1
2016-06-30,33.21
2016-07-31,28.59
2016-08-31,29.26
2016-09-30,28.94
2016-10-31,31.95
2016-11-30,29.33
2016-12-31,30.28
2017-01-31,31.14
2017-02-28,31.8
2017-03-31,33.54
2017-04-30,32.3
2017-05-31,31.91
2017-06-30,34.46
2017-07-31,31.72
2017-08-31,30.5
2017-09-30,29.56
2017-10-31,28.06
2017-11-30,26.47
2017-12-31,25.46
2018-01-31,21.08
2018-02-28,22.54
2018-03-31,21.36
2018-04-30,19.25
2018-05-31,20.11
2018-06-30,20.01
2018-07-31,19.65
2018-08-31,17.09
2018-09-30,16.98
2018-10-31,15.07
2018-11-30,15.04
2018-12-31,15.21
2019-01-31,14.57
2019-02-28,18.07
2019-03-31,20.76
2019-04-30,18.66
2019-05-31,15.46
2019-06-30,15.77
2019-07-31,15.59
2019-08-31,16.99
2019-09-30,18.1
2019-10-31,19.16
2019-11-30,21.46
2019-12-31,26.7
2020-01-31,35.21
2020-02-29,30.54
2020-03-31,24.9
2020-04-30,37.16
2020-05-31,36.64
2020-06-30,42.73
2020-07-31,52.09
2020-08-31,64.03
2020-09-30,61.59
2020-10-31,58.96
2020-11-30,50.23
2020-12-31,59.17
2021-01-31,67.14
2021-02-28,57.53
2021-03-31,51.49
2021-04-30,52.2
2021-05-31,59.54
2021-06-30,57.93
2021-07-31,52.24
2021-08-31,55.49
2021-09-30,56.4
2021-10-31,80.33
2021-11-30,103.78
2021-12-31,82.03
2022-01-31,83.58
2022-02-28,93.14
2022-03-31,87.91
2022-04-30,81.37
2022-05-31,90.54
2022-06-30,106.43
2022-07-31,142.96
2022-08-31,122.96
2022-09-30,114.78
2022-10-31,100.78
2022-11-30,104.97
2022-12-31,91.11
2023-01-31,110.55
2023-02-28,104.2
2023-03-31,99.73
2023-04-30,78.7
2023-05-31,90.41
2023-06-30,125.51
2023-07-31,114.9
2023-08-31,121.93
2023-09-30,116.01
2023-10-31,100.85
2023-11-30,115.32
2023-12-31,115.03
2024-01-31,76.28
2024-02-29,91.9
2024-03-31,98.89
2024-04-30,98.45
2024-05-31,90.13
2024-06-30,83.9
2024-07-31,83.89
2024-08-31,77.13
2024-09-30,106.0
2024-10-31,99.74
2024-11-30,119.84
2024-12-31,112.27
2025-01-31,150.47
2025-02-28,144.72
2025-03-31,132.37
2025-04-30,119.72
2025-05-31,112.96
2025-06-30,109.45
2025-07-31,106.65
2025-08-31,145.03
2025-09-30,187.6
2025-10-31,170.9
2025-11-30,145.95
2025-12-31,178.78
2026-01-31,167.2
2026-02-28,157.1
2026-03-31,131.57
2026-04-30,139.31
2026-05-31,155.1
