date,close_monthly
2021-07-31,10.69
2021-08-31,11.53
2021-09-30,11.26
2021-10-31,10.55
2021-11-30,11.63
2021-12-31,13.19
2022-01-31,11.03
2022-02-28,11.16
2022-03-31,9.73
2022-04-30,8.97
2022-05-31,11.28
2022-06-30,11.14
2022-07-31,10.0
2022-08-31,8.91
2022-09-30,7.97
2022-10-31,8.56
2022-11-30,9.45
2022-12-31,8.37
2023-01-31,8.96
2023-02-28,10.91
2023-03-31,11.09
2023-04-30,13.9
2023-05-31,12.34
2023-06-30,13.89
2023-07-31,15.46
2023-08-31,12.69
2023-09-30,13.0
2023-10-31,10.88
2023-11-30,11.94
2023-12-31,10.08
2024-01-31,9.15
2024-02-29,10.31
2024-03-31,10.17
2024-04-30,10.5
2024-05-31,10.01
2024-06-30,9.24
2024-07-31,9.46
2024-08-31,9.44
2024-09-30,11.98
2024-10-31,10.94
2024-11-30,10.87
2024-12-31,9.98
2025-01-31,10.18
2025-02-28,9.55
2025-03-31,9.97
2025-04-30,8.95
2025-05-31,9.23
2025-06-30,9.27
2025-07-31,9.85
2025-08-31,10.38
2025-09-30,10.96
2025-10-31,10.96
2025-11-30,11.47
2025-12-31,10.43
2026-01-31,11.08
2026-02-28,11.44
2026-03-31,10.02
2026-04-30,10.18
2026-05-31,9.93
