date,close_monthly
2000-07-31,11.42
2000-08-31,12.51
2000-09-30,12.1
2000-10-31,12.7
2000-11-30,13.5
2000-12-31,14.85
2001-01-31,14.25
2001-02-28,13.5
2001-03-31,14.78
2001-04-30,15.43
2001-05-31,15.67
2001-06-30,16.09
2001-07-31,14.99
2001-08-31,14.18
2001-09-30,13.54
2001-10-31,12.5
2001-11-30,13.21
2001-12-31,12.29
2002-01-31,10.37
2002-02-28,10.58
2002-03-31,11.65
2002-04-30,12.57
2002-05-31,10.8
2002-06-30,12.55
2002-07-31,12.0
2002-08-31,12.31
2002-09-30,12.14
2002-10-31,10.86
2002-11-30,10.56
2002-12-31,10.63
2003-01-31,10.96
2003-02-28,11.07
2003-03-31,11.43
2003-04-30,10.78
2003-05-31,11.16
2003-06-30,11.0
2003-07-31,11.62
2003-08-31,10.33
2003-09-30,8.71
2003-10-31,7.81
2003-11-30,8.26
2003-12-31,8.47
2004-01-31,8.95
2004-02-29,8.84
2004-03-31,9.0
2004-04-30,8.49
2004-05-31,7.59
2004-06-30,6.34
2004-07-31,6.98
2004-08-31,6.38
2004-09-30,6.71
2004-10-31,7.13
2004-11-30,7.36
2004-12-31,5.66
2005-01-31,5.1
2005-02-28,5.71
2005-03-31,5.81
2005-04-30,5.05
2005-05-31,4.55
2005-06-30,4.54
2005-07-31,3.87
2005-08-31,4.61
2005-09-30,5.07
2005-10-31,4.92
2005-11-30,4.99
2005-12-31,5.15
2006-01-31,5.63
2006-02-28,5.81
2006-03-31,5.42
2006-04-30,6.2
2006-05-31,8.25
2006-06-30,8.79
2006-07-31,7.03
2006-08-31,6.96
2006-09-30,7.37
2006-10-31,6.86
2006-11-30,7.0
2006-12-31,6.98
2007-01-31,8.47
2007-02-28,11.76
2007-03-31,13.81
2007-04-30,21.79
2007-05-31,19.04
2007-06-30,21.9
2007-07-31,21.57
2007-08-31,19.99
2007-09-30,21.4
2007-10-31,16.8
2007-11-30,14.99
2007-12-31,17.61
2008-01-31,18.15
2008-02-29,21.51
2008-03-31,19.75
2008-04-30,14.94
2008-05-31,16.21
2008-06-30,13.17
2008-07-31,16.03
2008-08-31,12.61
2008-09-30,10.58
2008-10-31,7.52
2008-11-30,7.9
2008-12-31,8.06
2009-01-31,9.25
2009-02-28,10.03
2009-03-31,12.3
2009-04-30,11.46
2009-05-31,11.81
2009-06-30,12.42
2009-07-31,14.56
2009-08-31,13.43
2009-09-30,12.17
2009-10-31,12.94
2009-11-30,15.7
2009-12-31,15.06
2010-01-31,16.98
2010-02-28,22.29
2010-03-31,19.37
2010-04-30,17.81
2010-05-31,17.8
2010-06-30,15.49
2010-07-31,18.0
2010-08-31,18.98
2010-09-30,18.79
2010-10-31,19.97
2010-11-30,17.94
2010-12-31,19.31
2011-01-31,17.3
2011-02-28,19.56
2011-03-31,18.09
2011-04-30,16.61
2011-05-31,14.28
2011-06-30,14.92
2011-07-31,16.24
2011-08-31,15.07
2011-09-30,13.15
2011-10-31,13.31
2011-11-30,11.79
2011-12-31,10.07
2012-01-31,10.48
2012-02-29,11.42
2012-03-31,10.38
2012-04-30,11.57
2012-05-31,11.6
2012-06-30,10.46
2012-07-31,9.5
2012-08-31,9.78
2012-09-30,9.83
2012-10-31,9.86
2012-11-30,8.44
2012-12-31,9.27
2013-01-31,9.59
2013-02-28,9.95
2013-03-31,9.68
2013-04-30,8.96
2013-05-31,9.75
2013-06-30,7.91
2013-07-31,8.61
2013-08-31,11.57
2013-09-30,10.99
2013-10-31,11.23
2013-11-30,13.25
2013-12-31,11.66
2014-01-31,11.53
2014-02-28,11.48
2014-03-31,13.02
2014-04-30,16.5
2014-05-31,14.14
2014-06-30,15.04
2014-07-31,14.85
2014-08-31,16.33
2014-09-30,18.1
2014-10-31,18.06
2014-11-30,20.77
2014-12-31,18.78
2015-01-31,21.58
2015-02-28,22.28
2015-03-31,23.24
2015-04-30,25.28
2015-05-31,26.44
2015-06-30,24.16
2015-07-31,16.86
2015-08-31,14.17
2015-09-30,16.26
2015-10-31,24.6
2015-11-30,18.44
2015-12-31,24.52
2016-01-31,16.79
2016-02-29,17.64
2016-03-31,19.3
2016-04-30,17.78
2016-05-31,16.38
2016-06-30,16.19
2016-07-31,16.53
2016-08-31,17.94
2016-09-30,16.01
2016-10-31,16.35
2016-11-30,16.53
2016-12-31,16.4
2017-01-31,16.24
2017-02-28,17.6
2017-03-31,17.65
2017-04-30,17.08
2017-05-31,15.17
2017-06-30,15.4
2017-07-31,15.29
2017-08-31,16.02
2017-09-30,15.42
2017-10-31,15.38
2017-11-30,13.76
2017-12-31,13.41
2018-01-31,14.17
2018-02-28,13.82
