date,close_monthly
2010-07-31,29.39
2010-08-31,30.86
2010-09-30,27.48
2010-10-31,32.99
2010-11-30,39.99
2010-12-31,31.72
2011-01-31,28.61
2011-02-28,28.98
2011-03-31,25.88
2011-04-30,20.88
2011-05-31,19.45
2011-06-30,20.71
2011-07-31,25.98
2011-08-31,26.27
2011-09-30,19.05
2011-10-31,18.44
2011-11-30,18.23
2011-12-31,20.77
2012-01-31,18.11
2012-02-29,20.58
2012-03-31,18.46
2012-04-30,19.24
2012-05-31,19.08
2012-06-30,17.41
2012-07-31,17.46
2012-08-31,18.81
2012-09-30,19.06
2012-10-31,18.52
2012-11-30,14.11
2012-12-31,16.84
2013-01-31,17.01
2013-02-28,18.0
2013-03-31,16.41
2013-04-30,15.8
2013-05-31,20.7
2013-06-30,22.71
2013-07-31,24.59
2013-08-31,26.05
2013-09-30,29.64
2013-10-31,28.99
2013-11-30,47.63
2013-12-31,47.93
2014-01-31,48.98
2014-02-28,42.65
2014-03-31,35.31
2014-04-30,31.13
2014-05-31,34.9
2014-06-30,38.29
2014-07-31,42.85
2014-08-31,41.95
2014-09-30,49.25
2014-10-31,48.75
2014-11-30,47.13
2014-12-31,42.73
2015-01-31,45.06
2015-02-28,50.03
2015-03-31,56.7
2015-04-30,75.02
2015-05-31,82.89
2015-09-30,49.51
2015-10-31,54.75
2015-11-30,64.69
2015-12-31,64.17
2016-01-31,36.47
2016-02-29,36.16
2016-03-31,49.84
2016-04-30,46.76
2016-05-31,46.84
2016-06-30,56.83
2016-07-31,51.88
2016-08-31,56.83
2016-09-30,55.11
2016-10-31,56.24
2016-11-30,54.47
2016-12-31,48.0
2017-01-31,50.72
2017-02-28,51.54
2017-03-31,47.43
2017-04-30,43.52
2017-05-31,36.61
2017-06-30,38.6
2017-07-31,36.07
2017-08-31,42.56
2017-09-30,42.46
2017-10-31,36.76
2017-11-30,35.71
2017-12-31,35.45
2018-01-31,30.81
2018-02-28,31.4
2018-03-31,34.17
2018-04-30,37.33
2018-05-31,31.32
2018-06-30,28.37
2018-07-31,34.05
2018-08-31,32.72
2018-09-30,36.08
2018-10-31,30.61
2018-11-30,34.92
2018-12-31,45.5
2019-01-31,44.31
2019-02-28,55.63
2019-03-31,57.02
2019-04-30,52.04
2019-05-31,57.87
2019-06-30,60.88
2019-07-31,60.88
2019-08-31,64.24
2019-09-30,75.34
2019-10-31,69.06
2019-11-30,62.53
2019-12-31,66.59
2020-01-31,98.52
2020-02-29,150.4
2020-03-31,107.02
2020-04-30,129.66
2020-05-31,145.86
2020-06-30,158.52
2020-07-31,211.19
2020-08-31,207.73
2020-09-30,187.16
2020-10-31,183.31
2020-11-30,205.56
2020-12-31,226.03
2021-01-31,230.79
2021-02-28,212.65
2021-03-31,193.87
2021-04-30,188.78
2021-05-31,206.54
2021-06-30,210.42
2021-07-31,209.2
2021-08-31,209.04
2021-09-30,178.37
2021-10-31,165.56
2021-11-30,185.62
2021-12-31,184.71
2022-01-31,160.29
2022-02-28,170.74
2022-03-31,130.08
2022-04-30,117.72
2022-05-31,126.9
2022-06-30,140.43
2022-07-31,135.63
2022-08-31,156.03
2022-09-30,126.79
2022-10-31,126.68
2022-11-30,127.99
2022-12-31,120.02
2023-01-31,128.53
2023-02-28,130.17
2023-03-31,131.92
2023-04-30,120.46
2023-05-31,112.06
2023-06-30,111.64
2023-07-31,118.11
2023-08-31,110.78
2023-09-30,109.49
2023-10-31,113.8
2023-11-30,111.5
2023-12-31,104.89
2024-01-31,77.45
2024-02-29,90.67
2024-03-31,103.88
2024-04-30,100.72
2024-05-31,94.31
2024-06-30,84.81
2024-07-31,91.14
2024-08-31,86.39
2024-09-30,105.69
2024-10-31,127.57
2024-11-30,114.33
2024-12-31,106.98
2025-01-31,93.88
2025-02-28,114.9
2025-03-31,114.47
2025-04-30,118.79
2025-05-31,127.28
2025-06-30,147.59
2025-07-31,169.04
2025-08-31,180.85
2025-09-30,177.82
2025-10-31,199.85
2025-11-30,176.67
2025-12-31,211.23
2026-01-31,238.87
2026-02-28,224.04
2026-03-31,182.72
2026-04-30,213.53
2026-05-31,214.97
