date,close_monthly
2015-06-30,34.01
2015-07-31,39.51
2015-08-31,23.72
2015-09-30,24.67
2015-10-31,28.52
2015-11-30,43.18
2015-12-31,49.55
2016-01-31,30.9
2016-02-29,26.15
2016-03-31,31.74
2016-07-31,41.61
2016-08-31,37.2
2016-09-30,37.6
2016-10-31,41.01
2016-11-30,39.81
2016-12-31,37.59
2017-01-31,33.82
2017-02-28,34.2
2017-03-31,35.49
2017-04-30,33.29
2017-05-31,33.27
2017-08-31,33.87
2017-09-30,39.59
2017-10-31,35.4
2017-11-30,29.53
2017-12-31,28.46
2018-01-31,26.33
2018-02-28,26.39
2018-03-31,28.62
2018-04-30,26.93
2018-05-31,27.16
2018-06-30,23.9
2018-07-31,16.69
2018-08-31,15.13
2018-09-30,14.99
2018-10-31,13.68
2018-11-30,12.83
2018-12-31,11.02
2019-01-31,9.22
2019-02-28,12.23
2019-03-31,12.39
2019-04-30,10.17
2019-05-31,4.94
2019-06-30,5.33
2019-07-31,4.76
2019-08-31,4.68
2019-09-30,4.54
2019-10-31,4.16
2019-11-30,4.4
2019-12-31,6.34
2020-01-31,8.78
2020-02-29,10.61
2020-03-31,7.71
2020-04-30,7.67
2020-05-31,7.12
2020-06-30,6.66
2020-07-31,6.58
2020-08-31,6.84
2020-09-30,6.66
2020-10-31,6.34
2020-11-30,6.11
2020-12-31,9.1
2021-01-31,8.07
2021-02-28,9.72
2021-03-31,8.94
2021-04-30,8.61
2021-05-31,8.7
2021-06-30,8.64
2021-07-31,8.19
2021-08-31,9.04
2021-09-30,9.08
2021-10-31,9.08
2021-11-30,11.86
2021-12-31,12.93
2022-01-31,10.81
2022-02-28,9.06
2022-03-31,8.74
2022-04-30,8.13
2022-05-31,12.41
2022-06-30,11.1
2022-07-31,13.92
2022-08-31,10.73
2022-09-30,9.52
2022-10-31,9.76
2022-11-30,11.2
2022-12-31,10.21
2023-01-31,12.29
2023-02-28,12.69
2023-03-31,11.42
2023-04-30,10.53
2023-05-31,10.75
2023-06-30,11.1
2023-07-31,11.88
2023-08-31,10.33
2023-09-30,10.57
2023-10-31,10.91
2023-11-30,12.95
2023-12-31,11.0
2024-01-31,8.41
2024-02-29,8.74
2024-03-31,9.14
2024-04-30,9.24
2024-05-31,8.45
2024-06-30,9.76
2024-07-31,10.29
2024-08-31,8.72
2024-09-30,10.73
2024-10-31,12.85
2024-11-30,11.62
2024-12-31,11.6
2025-01-31,12.33
2025-02-28,12.43
2025-03-31,11.76
2025-04-30,10.51
2025-05-31,11.22
2025-06-30,10.79
2025-07-31,10.53
2025-08-31,10.59
2025-09-30,11.58
2025-10-31,10.77
2025-11-30,10.57
2025-12-31,12.21
2026-01-31,11.32
2026-02-28,11.72
2026-03-31,10.05
2026-04-30,9.46
2026-05-31,9.83
