date,close_monthly
1997-03-31,18.18
1997-04-30,17.66
1997-05-31,14.56
1997-06-30,14.18
1997-07-31,13.22
1997-08-31,16.72
1997-09-30,14.34
1997-10-31,17.1
1997-11-30,15.83
1997-12-31,16.63
1998-01-31,16.35
1998-02-28,15.43
1998-03-31,15.08
1998-04-30,18.2
1998-05-31,19.57
1998-06-30,19.92
1998-07-31,17.07
1998-08-31,16.73
1998-09-30,16.04
1998-10-31,16.07
1998-11-30,16.48
1998-12-31,13.48
1999-01-31,13.23
1999-02-28,11.71
1999-03-31,13.0
1999-04-30,13.65
1999-05-31,13.26
1999-06-30,15.5
1999-07-31,13.74
1999-08-31,14.87
1999-09-30,14.17
1999-10-31,14.2
1999-11-30,13.9
1999-12-31,12.69
2000-01-31,13.18
2000-02-29,13.75
2000-03-31,16.71
2000-04-30,17.36
2000-05-31,17.41
2000-06-30,16.65
2000-07-31,17.95
2000-08-31,19.37
2000-09-30,18.86
2000-10-31,20.98
2000-11-30,22.49
2000-12-31,21.63
2001-01-31,19.58
2001-02-28,18.23
2001-03-31,19.71
2001-04-30,20.97
2001-05-31,22.26
2001-06-30,21.67
2001-07-31,18.93
2001-08-31,18.83
2001-09-30,17.53
2001-10-31,16.35
2001-11-30,16.81
2001-12-31,15.2
2002-01-31,12.18
2002-02-28,12.94
2002-03-31,14.02
2002-04-30,15.42
2002-05-31,13.41
2002-06-30,14.62
2002-07-31,14.16
2002-08-31,14.26
2002-09-30,13.21
2002-10-31,12.12
2002-11-30,10.99
2002-12-31,10.61
2003-01-31,11.61
2003-02-28,11.74
2003-03-31,11.84
2003-04-30,10.03
2003-05-31,11.09
2003-06-30,10.91
2003-07-31,10.93
2003-08-31,10.86
2003-09-30,9.33
2003-10-31,8.08
2003-11-30,8.32
2003-12-31,7.42
2004-01-31,8.02
2004-02-29,8.62
2004-03-31,8.75
2004-04-30,8.45
2004-05-31,9.47
2004-06-30,7.55
2004-07-31,8.0
2004-08-31,7.05
2004-09-30,7.23
2004-10-31,6.19
2004-11-30,6.46
2004-12-31,5.86
2005-01-31,5.4
2005-02-28,5.85
2005-03-31,4.85
2005-04-30,3.88
2005-05-31,3.95
2005-06-30,3.58
2005-07-31,3.24
2005-08-31,4.11
2005-09-30,4.54
2005-10-31,3.69
2005-11-30,3.81
2005-12-31,3.86
2006-01-31,3.9
2006-02-28,4.02
2006-03-31,4.03
2006-04-30,4.12
2006-05-31,5.75
2006-06-30,5.45
2006-07-31,5.36
2006-08-31,5.31
2006-09-30,5.99
2006-10-31,6.08
2006-11-30,6.15
2006-12-31,6.76
2007-01-31,7.62
2007-02-28,9.62
2007-03-31,14.7
2007-04-30,20.51
2007-05-31,19.34
2007-06-30,15.89
2007-07-31,16.61
2007-08-31,26.95
2007-09-30,31.88
2007-10-31,26.14
2007-11-30,19.41
2007-12-31,24.49
2008-01-31,24.09
2008-02-29,24.65
2008-03-31,16.43
2008-04-30,14.38
2008-05-31,13.93
2008-06-30,9.66
2008-07-31,10.47
2008-08-31,7.81
2008-09-30,6.78
2008-10-31,5.04
2008-11-30,6.17
2008-12-31,6.01
2009-01-31,6.91
2009-02-28,8.22
2009-03-31,9.82
2009-04-30,11.23
2009-05-31,11.8
2009-06-30,14.25
2009-07-31,17.51
2009-08-31,17.51
2009-09-30,19.0
2009-10-31,19.81
2009-11-30,22.89
2009-12-31,21.45
2010-01-31,23.34
2010-02-28,45.52
2010-03-31,42.93
2010-04-30,44.3
2010-05-31,38.43
2010-06-30,31.7
2010-07-31,37.14
2010-08-31,52.09
2010-09-30,62.38
2010-10-31,74.76
2010-11-30,71.25
2010-12-31,102.2
2011-01-31,82.46
2011-02-28,101.19
2011-03-31,98.67
2011-04-30,113.05
2011-05-31,96.58
2011-06-30,104.18
2011-07-31,97.52
2011-08-31,101.96
2011-09-30,90.7
2011-10-31,94.68
2011-11-30,87.91
2011-12-31,67.96
2012-01-31,79.47
2012-02-29,93.74
2012-03-31,96.31
2012-04-30,94.65
2012-05-31,83.87
2012-06-30,76.6
2012-07-31,64.76
2012-08-31,60.11
2012-09-30,53.11
2012-10-31,51.26
2012-11-30,42.97
2012-12-31,51.31
2013-01-31,50.67
2013-02-28,54.49
2013-03-31,45.09
2013-04-30,38.69
2013-05-31,42.28
2013-06-30,40.13
2013-07-31,33.47
2013-08-31,38.03
2013-09-30,38.69
2013-10-31,42.28
2013-11-30,37.52
2013-12-31,34.86
2014-01-31,32.95
2014-02-28,37.19
2014-03-31,32.21
2014-04-30,29.46
2014-05-31,29.14
2014-06-30,31.22
2014-07-31,33.12
2014-08-31,40.03
2014-09-30,37.66
2014-10-31,34.54
2014-11-30,36.19
2014-12-31,42.78
2015-01-31,41.6
2015-02-28,51.35
2015-03-31,51.83
2015-04-30,69.69
2015-05-31,71.06
2015-06-30,60.45
2015-07-31,49.74
2015-08-31,40.03
2015-09-30,34.25
2015-10-31,40.7
2015-11-30,49.46
2015-12-31,52.63
2016-01-31,43.68
