date,close_monthly
2011-05-31,25.98
2011-06-30,25.86
2011-07-31,27.49
2011-08-31,25.7
2011-09-30,22.25
2011-10-31,22.4
2011-11-30,23.4
2011-12-31,19.56
2012-01-31,16.81
2012-02-29,19.62
2012-03-31,16.83
2012-04-30,16.29
2012-05-31,16.55
2012-06-30,16.55
2012-07-31,14.22
2012-08-31,15.12
2012-09-30,15.34
2012-10-31,16.14
2012-11-30,14.61
2012-12-31,17.7
2013-01-31,17.01
2013-02-28,17.54
2013-03-31,18.41
2013-04-30,15.74
2013-05-31,18.73
2013-06-30,17.02
2013-07-31,20.26
2013-08-31,21.3
2013-09-30,24.37
2013-10-31,24.45
2013-11-30,36.2
2013-12-31,30.3
2014-01-31,33.52
2014-02-28,29.73
2014-03-31,27.12
2014-04-30,27.06
2014-05-31,28.33
2014-06-30,30.04
2014-07-31,32.5
2014-08-31,36.98
2014-09-30,39.48
2014-10-31,40.42
2014-11-30,41.14
2014-12-31,34.03
2015-01-31,35.17
2015-02-28,40.32
2015-03-31,48.75
2015-04-30,57.42
2015-05-31,113.0
2015-06-30,68.63
2015-07-31,52.67
2015-08-31,44.97
2015-09-30,44.2
2015-10-31,59.27
2015-11-30,76.29
2015-12-31,96.6
2016-01-31,54.39
2016-02-29,48.78
2016-03-31,77.16
2016-04-30,79.65
2016-05-31,77.16
2016-06-30,86.61
2016-07-31,76.14
2016-08-31,80.68
2016-09-30,78.35
2016-10-31,79.8
2016-11-30,89.58
2016-12-31,78.22
2017-01-31,73.87
2017-02-28,75.01
2017-03-31,68.51
2017-04-30,59.55
2017-05-31,56.71
2017-06-30,56.84
2017-07-31,50.52
2017-08-31,53.11
2017-09-30,57.6
2017-10-31,51.15
2017-11-30,44.71
2017-12-31,44.71
2018-01-31,41.87
2018-02-28,39.72
2018-03-31,41.62
2018-04-30,42.19
2018-05-31,39.22
2018-06-30,34.14
2018-07-31,35.03
2018-08-31,32.61
2018-09-30,32.29
2018-10-31,27.96
2018-11-30,32.23
2018-12-31,30.76
2019-01-31,29.61
2019-02-28,44.26
2019-03-31,45.73
2019-04-30,39.1
2019-05-31,41.36
2019-06-30,43.48
2019-07-31,46.38
2019-08-31,44.38
2019-09-30,53.84
2019-10-31,42.71
2019-11-30,46.38
2019-12-31,51.52
2020-01-31,45.35
2020-02-29,46.63
2020-03-31,42.71
2020-04-30,45.8
2020-05-31,49.79
2020-06-30,42.68
2020-07-31,45.29
2020-08-31,50.57
2020-09-30,51.61
2020-10-31,54.74
2020-11-30,48.03
2020-12-31,43.07
2021-01-31,53.89
2021-02-28,72.14
2021-03-31,65.62
2021-04-30,59.21
2021-05-31,63.45
2021-06-30,72.77
2021-07-31,95.2
2021-08-31,81.18
2021-09-30,82.55
2021-10-31,86.53
2021-11-30,86.73
2021-12-31,83.47
2022-01-31,74.53
2022-02-28,77.14
2022-03-31,62.86
2022-04-30,50.67
2022-05-31,53.57
2022-06-30,56.25
2022-07-31,56.84
2022-08-31,56.77
2022-09-30,46.32
2022-10-31,48.28
2022-11-30,49.19
2022-12-31,47.82
2023-01-31,51.09
2023-02-28,55.6
2023-03-31,64.22
2023-04-30,56.71
2023-05-31,82.27
2023-06-30,65.72
2023-07-31,60.43
2023-08-31,58.79
2023-09-30,60.36
2023-10-31,62.26
2023-11-30,68.47
2023-12-31,66.11
2024-01-31,47.28
2024-02-29,44.4
2024-03-31,48.2
2024-04-30,41.98
2024-05-31,40.35
2024-06-30,34.59
2024-07-31,36.36
2024-08-31,40.35
2024-09-30,46.56
2024-10-31,50.68
2024-11-30,68.8
2024-12-31,58.2
2025-01-31,51.86
2025-02-28,59.84
2025-03-31,66.57
2025-04-30,36.49
2025-05-31,43.03
2025-06-30,42.51
2025-07-31,45.32
2025-08-31,65.26
2025-09-30,66.11
2025-10-31,62.52
2025-11-30,57.42
2025-12-31,55.39
2026-01-31,55.46
2026-02-28,59.77
2026-03-31,52.71
2026-04-30,58.2
2026-05-31,60.23
